Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","191","Croatia","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","18449","E","Estimated value"
"TCL","Crops and livestock products","191","Croatia","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","25751","E","Estimated value"
"TCL","Crops and livestock products","191","Croatia","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","1271","E","Estimated value"
"TCL","Crops and livestock products","818","Egypt","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","2554","E","Estimated value"
"TCL","Crops and livestock products","818","Egypt","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","2941","E","Estimated value"
"TCL","Crops and livestock products","818","Egypt","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","16","E","Estimated value"
"TCL","Crops and livestock products","818","Egypt","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","162","E","Estimated value"
"TCL","Crops and livestock products","222","El Salvador","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","105","E","Estimated value"
"TCL","Crops and livestock products","222","El Salvador","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","1718","E","Estimated value"
"TCL","Crops and livestock products","222","El Salvador","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","685","E","Estimated value"
"TCL","Crops and livestock products","222","El Salvador","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","20","E","Estimated value"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","4121","E","Estimated value"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","39","E","Estimated value"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","14732","E","Estimated value"
"TCL","Crops and livestock products","246","Finland","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","10340","E","Estimated value"
"TCL","Crops and livestock products","246","Finland","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","14302","E","Estimated value"
"TCL","Crops and livestock products","246","Finland","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","46643","E","Estimated value"
"TCL","Crops and livestock products","246","Finland","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","691","E","Estimated value"
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","276928","E","Estimated value"
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","457596","E","Estimated value"
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","691491","E","Estimated value"
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","51498","E","Estimated value"
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","414964","E","Estimated value"
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","770079","E","Estimated value"
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","2915329","E","Estimated value"
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","22040","E","Estimated value"
"TCL","Crops and livestock products","300","Greece","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","1332","E","Estimated value"
"TCL","Crops and livestock products","300","Greece","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","40478","E","Estimated value"
"TCL","Crops and livestock products","300","Greece","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","13562","E","Estimated value"
"TCL","Crops and livestock products","300","Greece","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","8410","E","Estimated value"
"TCL","Crops and livestock products","352","Iceland","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","48","E","Estimated value"
"TCL","Crops and livestock products","352","Iceland","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","352","Iceland","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","107","E","Estimated value"
"TCL","Crops and livestock products","352","Iceland","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","4712","E","Estimated value"
"TCL","Crops and livestock products","356","India","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","1203594","E","Estimated value"
"TCL","Crops and livestock products","356","India","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","5667","E","Estimated value"
"TCL","Crops and livestock products","356","India","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","1303","E","Estimated value"
"TCL","Crops and livestock products","356","India","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","16218","E","Estimated value"
"TCL","Crops and livestock products","360","Indonesia","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","46","E","Estimated value"
"TCL","Crops and livestock products","360","Indonesia","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","429","E","Estimated value"
"TCL","Crops and livestock products","360","Indonesia","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","71","E","Estimated value"
"TCL","Crops and livestock products","360","Indonesia","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","4084","E","Estimated value"
"TCL","Crops and livestock products","368","Iraq","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","21","E","Estimated value"
"TCL","Crops and livestock products","368","Iraq","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","1705","E","Estimated value"
"TCL","Crops and livestock products","368","Iraq","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","15","E","Estimated value"
"TCL","Crops and livestock products","368","Iraq","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","6","E","Estimated value"
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","639266","E","Estimated value"
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","138725","E","Estimated value"
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","291176","E","Estimated value"
